Date,Opponent,Result,Location,W/L,Div,Knicks,opponent,Margin,BackToBack
1900-10-19,Memphis,L,Away,0-1,0-0,112,115,-3,False
1900-10-21,Detroit,W,Home,1-1,0-0,130,106,24,False
1900-10-24,Orlando,W,Home,2-1,0-0,115,102,13,False
1900-10-26,Charlotte,W,Home,3-1,0-0,134,131,3,False
1900-10-28,Milwaukee,L,Away,3-2,0-0,108,119,-11,False
1900-10-30,Cleveland,L,Away,3-3,0-0,108,121,-13,False
1900-11-02,Atlanta,L,Home,3-4,0-0,99,112,-13,False
1900-11-04,Philadelphia,W,Away,4-4,1-0,106,104,2,True
1900-11-05,Boston,L,Home,4-5,1-1,118,133,-15,False
1900-11-07,Minnesota,W,Away,5-5,1-1,120,107,13,False
1900-11-09,Brooklyn,L,Away,5-6,1-2,85,112,-27,False
1900-11-11,Detroit,W,Home,6-6,1-2,121,112,9,False
1900-11-13,OklaCity,L,Home,6-7,1-2,135,145,-10,False
1900-11-15,Utah,W,Away,7-7,1-2,118,111,7,True
1900-11-16,Denver,W,Away,8-7,1-2,106,103,3,False
1900-11-18,GoldenState,L,Away,8-8,1-2,101,111,-10,False
1900-11-20,Phoenix,L,Away,8-9,1-2,95,116,-21,True
1900-11-21,OklaCity,W,Away,9-9,1-2,129,119,10,False
1900-11-25,Portland,L,Home,9-10,1-2,129,132,-3,False
1900-11-27,Memphis,L,Home,9-11,1-2,123,127,-4,False
1900-11-29,Detroit,W,Away,10-11,1-2,140,110,30,True
1900-11-30,Milwaukee,L,Home,10-12,1-2,103,109,-6,False
1900-12-03,Dallas,L,Home,10-13,1-2,100,121,-21,True
1900-12-04,Cleveland,W,Home,11-13,1-2,92,81,11,False
1900-12-07,Atlanta,W,Home,12-13,1-2,113,89,24,False
1900-12-09,Charlotte,W,Away,13-13,1-2,121,102,19,False
1900-12-11,Sacramento,W,Home,14-13,1-2,112,99,13,False
1900-12-14,Chicago,W,Away,15-13,1-2,128,120,8,False
1900-12-16,Chicago,W,Away,16-13,1-2,114,91,23,False
1900-12-18,Indiana,W,Away,17-13,1-2,109,106,3,False
1900-12-20,GoldenState,W,Home,18-13,1-2,132,94,38,True
1900-12-21,Toronto,L,Home,18-14,1-3,106,113,-7,False
1900-12-23,Chicago,L,Home,18-15,1-3,117,118,-1,False
1900-12-25,Philadelphia,L,Home,18-16,1-4,112,119,-7,False
1900-12-27,Dallas,,Away,,,0,0,0,False
1900-12-29,SanAntonio,,Away,,,0,0,0,False
1900-12-31,Houston,,Away,,,0,0,0,False
1900-01-02,Phoenix,,Home,,,0,0,0,False
1900-01-04,SanAntonio,,Home,,,0,0,0,False
1900-01-06,Toronto,,Away,,,0,0,0,False
1900-01-09,Milwaukee,,Home,,,0,0,0,False
1900-01-11,Indiana,,Home,,,0,0,0,False
1900-01-13,Washington,,Away,,,0,0,0,False
1900-01-15,Detroit,,Away,,,0,0,0,True
1900-01-16,Toronto,,Home,,,0,0,0,False
1900-01-18,Washington,,Home,,,0,0,0,False
1900-01-20,Atlanta,,Away,,,0,0,0,False
1900-01-22,Toronto,,Away,,,0,0,0,False
1900-01-24,Cleveland,,Home,,,0,0,0,False
1900-01-26,Boston,,Away,,,0,0,0,False
1900-01-28,Brooklyn,,Away,,,0,0,0,False
1900-01-31,Lakers,,Home,,,0,0,0,False
1900-02-02,Miami,,Home,,,0,0,0,False
1900-02-04,Clippers,,Home,,,0,0,0,True
1900-02-05,Philadelphia,,Home,,,0,0,0,False
1900-02-07,Orlando,,Away,,,0,0,0,False
1900-02-10,Philadelphia,,Away,,,0,0,0,True
1900-02-11,Utah,,Home,,,0,0,0,False
1900-02-13,Brooklyn,,Home,,,0,0,0,False
1900-02-15,Atlanta,,Away,,,0,0,0,False
1900-02-24,Washington,,Away,,,0,0,0,True
1900-02-25,NewOrleans,,Home,,,0,0,0,False
1900-02-27,Boston,,Home,,,0,0,0,False
1900-03-01,Brooklyn,,Home,,,0,0,0,False
1900-03-03,Miami,,Away,,,0,0,0,False
1900-03-05,Boston,,Away,,,0,0,0,False
1900-03-07,Charlotte,,Home,,,0,0,0,False
1900-03-09,Sacramento,,Away,,,0,0,0,False
1900-03-11,LAClippers,,Away,,,0,0,0,True
1900-03-12,LALakers,,Away,,,0,0,0,False
1900-03-14,Portland,,Away,,,0,0,0,False
1900-03-18,Denver,,Home,,,0,0,0,False
1900-03-20,Minnesota,,Home,,,0,0,0,False
1900-03-22,Miami,,Away,,,0,0,0,True
1900-03-23,Orlando,,Away,,,0,0,0,False
1900-03-27,Houston,,Home,,,0,0,0,False
1900-03-29,Miami,,Home,,,0,0,0,False
1900-03-31,Cleveland,,Away,,,0,0,0,False
1900-04-02,Washington,,Home,,,0,0,0,False
1900-04-05,Indiana,,Away,,,0,0,0,False
1900-04-07,NewOrleans,,Away,,,0,0,0,False
1900-04-09,Indiana,,,,,0,0,0,False
