Date,Opponent,Result,Score,Spread,Total Result,Total,Money
10/19,Memphis,L,112-115,+4.5,Pu,227.0,+165
10/21,Detroit,W,130-106,-7.0,Ov,220.5,-282
10/24,Orlando,W,115-102,-7.5,Un,223.0,-290
10/26,Charlotte,W,134-131,-7.5,Ov,224.5,-325
10/28,Milwaukee,L,108-119,+6.0,Ov,223.5,+200
10/30,Cleveland,L,108-121,+3.5,Ov,220.0,+140
11/02,Atlanta,L,99-112,-2.5,Un,233.0,-133
11/04,Philadelphia,W,106-104,+2.0,Un,221.0,+115
11/05,Boston,L,118-133,+4.0,Ov,227.0,+150
11/07,Minnesota,W,120-107,+2.5,Un,235.0,+125
11/09,Brooklyn,L,85-112,+3.0,Un,220.5,+130
11/11,Detroit,W,121-112,-9.0,Ov,224.5,-369
11/13,OklaCity,L,135-145,-5.0,Ov,226.5,-205
11/15,Utah,W,118-111,+4.0,Un,231.5,+155
11/16,Denver,W,106-103,+2.0,Un,226.5,+105
11/18,GoldenState,L,101-111,+7.5,Un,234.0,+230
11/20,Phoenix,L,95-116,+6.0,Un,227.0,+191
11/21,OklaCity,W,129-119,+1.5,Ov,228.0,+100
11/25,Portland,L,129-132,-4.0,Ov,217.0,-170
11/27,Memphis,L,123-127,+1.5,Ov,227.5,+100
11/29,Detroit,W,140-110,-4.5,Ov,227.0,-172
11/30,Milwaukee,L,103-109,+6.0,Un,227.5,+194
12/03,Dallas,L,100-121,+1.5,Un,224.0,+104
12/04,Cleveland,W,92-81,+2.5,Un,222.0,+117
12/07,Atlanta,W,113-89,-2.0,Un,233.0,-132
12/09,Charlotte,W,121-102,-3.5,Un,224.0,-165
12/11,Sacramento,W,112-99,-2.5,Un,226.0,-138
12/14,Chicago,W,128-120,+3.5,Ov,226.5,+140
12/16,Chicago,W,114-91,+2.5,Un,225.5,+125
12/18,Indiana,W,109-106,-1.0,Un,228.0,-109
12/20,GoldenState,W,132-94,-6.0,Ov,220.5,-216
12/21,Toronto,L,106-113,-2.0,Ov,217.5,-130
12/23,Chicago,L,117-118,-6.0,Ov,225.0,-220
12/25,Philadelphia,L,112-119,+2.0,Ov,215.5,+105
12/27,Dallas,,,--,--,--,
12/29,SanAntonio,,,--,--,--,
12/31,Houston,,,--,--,--,
01/02,Phoenix,,,--,--,--,
01/04,SanAntonio,,,--,--,--,
01/06,Toronto,,,--,--,--,
01/09,Milwaukee,,,--,--,--,
01/11,Indiana,,,--,--,--,
01/13,Washington,,,--,--,--,
01/15,Detroit,,,--,--,--,
01/16,Toronto,,,--,--,--,
01/18,Washington,,,--,--,--,
01/20,Atlanta,,,--,--,--,
01/22,Toronto,,,--,--,--,
01/24,Cleveland,,,--,--,--,
01/26,Boston,,,--,--,--,
01/28,Brooklyn,,,--,--,--,
01/31,Lakers,,,--,--,--,
02/02,Miami,,,--,--,--,
02/04,Clippers,,,--,--,--,
02/05,Philadelphia,,,--,--,--,
02/07,Orlando,,,--,--,--,
02/10,Philadelphia,,,--,--,--,
02/11,Utah,,,--,--,--,
02/13,Brooklyn,,,--,--,--,
02/15,Atlanta,,,--,--,--,
02/24,Washington,,,--,--,--,
02/25,NewOrleans,,,--,--,--,
02/27,Boston,,,--,--,--,
03/01,Brooklyn,,,--,--,--,
03/03,Miami,,,--,--,--,
03/05,Boston,,,--,--,--,
03/07,Charlotte,,,--,--,--,
03/09,Sacramento,,,--,--,--,
03/11,Clippers,,,--,--,--,
03/12,Lakers,,,--,--,--,
03/14,Portland,,,--,--,--,
03/18,Denver,,,--,--,--,
03/20,Minnesota,,,--,--,--,
03/22,Miami,,,--,--,--,
03/23,Orlando,,,--,--,--,
03/27,Houston,,,--,--,--,
03/29,Miami,,,--,--,--,
03/31,Cleveland,,,--,--,--,
04/02,Washington,,,--,--,--,
04/05,Indiana,,,--,--,--,
04/07,NewOrleans,,,--,--,--,
04/09,Indiana,,,--,--,--,
